delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.101,0.922,-0.295,0.005,-18.000,-41.000,-16.000,-0.435,0.668,-0.576,-0.33,1.91,-0.32
0.101,0.929,-0.408,0.015,-21.000,-37.000,-21.000,-0.753,0.560,-0.526,-0.41,1.97,-0.36
0.101,0.868,-0.464,-0.136,-24.000,-33.000,-15.000,-0.557,0.242,-0.474,-0.47,2.03,-0.36
0.101,0.816,-0.427,-0.186,-24.000,-31.000,-20.000,-0.665,0.234,-0.491,-0.54,2.11,-0.36
0.100,0.739,-0.354,-0.175,-28.000,-33.000,-18.000,-0.598,-0.077,-1.236,-0.65,2.22,-0.28
0.101,0.715,-0.904,-0.007,-32.000,-24.000,-10.000,-0.251,-0.291,-1.793,-0.77,2.35,-0.11
0.091,0.641,-0.733,-0.052,-32.000,-22.000,-12.000,-0.352,0.035,-0.722,-0.82,2.42,-0.05
0.111,0.601,-0.708,0.004,-33.000,-21.000,-15.000,-0.142,-0.170,-0.426,-0.84,2.47,0.01
0.101,0.516,-0.891,-0.172,-35.000,-19.000,-8.000,-0.070,-0.373,-0.614,-0.85,2.54,0.10
0.101,0.529,-1.113,0.140,-35.000,-17.000,-10.000,0.039,-0.496,-0.513,-0.84,2.60,0.20
0.091,0.527,-1.034,0.228,-37.000,-14.000,-10.000,-0.069,-0.352,-0.500,-0.84,2.66,0.27
0.101,0.457,-0.967,0.114,-37.000,-16.000,-7.000,-0.072,-0.478,-0.249,-0.81,2.70,0.32
0.100,0.457,-0.891,0.192,-36.000,-14.000,-7.000,-0.033,-0.664,-0.151,-0.76,2.73,0.38
0.101,0.437,-0.872,0.186,-38.000,-19.000,-2.000,-0.036,-0.615,-0.043,-0.72,2.75,0.41
0.100,0.427,-0.857,0.204,-36.000,-18.000,-5.000,-0.059,-0.536,0.172,-0.66,2.75,0.41
0.101,0.452,-0.859,0.243,-37.000,-20.000,1.000,0.045,-0.376,0.134,-0.63,2.74,0.40
0.101,0.455,-0.846,0.215,-38.000,-23.000,-3.000,-0.083,-0.143,0.125,-0.62,2.73,0.39
